,Text,Text Classification
52,really there are no features worth your time unless you get the cellular version mostly you will want to listen to music while you run or record workouts seemlessly this does one of those okay the other poorly 6 days of trying to delete and redownload songs have me listing this on craigslist cause like it worked for one round of songs and now refuses to download anything even factory reset when people recommend others go with others sleep tracking is so bad you have to download external apps btw the rest of the apps are trash might as well get an old school casio watch bro,others
53,the watch is perfect as always the apple battery leaves something to be desired the rest super met my expectations,battery
54,kinda small compare to 44mmthe main issue is it limit too much i can not change or design the watch face freely or those simple design need some third party app the notification also too limited when i using my phone i can not get vibrate from the watch anymore that lead a problem is1 when turn on do not disturb all silenced like no watch 2 when i planned get notification from watch shake and accidentally open my phone loud noise from my phone come out due to some app is bad design i can not use silence mode if i want to hear something   i know apple like to make decisions for customers but not this one maybe blame bad app developers who silence their app when phone at silence mode when there is a positive media volume,screen
55,my daughter love it i will buy for my two sons,others
56,great product am very happy with purchase took me awhile to figure out getting notifications to work do not know if i messed up the settings so i reset watch and now works great only thing i do not like is needing to charge daily i had a cheap smart watch and it would take 2 3 weeks until it needed to be charged although the cheap smart watch could not be used to answer phone or reply to messages all in all i am very happy with product,battery
57,this is my first ever apple watch i love it actually forgot to put it on today and boy do i miss counting my steps and tracking my activity very happy,screen
58,had the original apple watch ungraded to the 7 works well like being able to make screen print larger good connection with iphone can answer phone with a double clench worth the money,screen
59,i was notified that apple watch package had arrived a short while ago after opening package i realized the watch itself was not in package only the watch band and cord were in box,strap
60,excellent delivery on time product same as advertised totally original apple watch all items advertised came as stated in the ad,screen
61,great watch with many features same crappy battery life my fitbit lasts 10 14 days between recharges,battery
62,love it of course battery life is not compared to fitbit luxe you have to compare apples to apples fitbit is a tracker iwatch is a tiny ipad no comparison the sleep tech could really use some tech update but the added fall program with all the balance monitoring the heart health monitoring hearing monitoring plus so much more is above and beyond anything i have tried fitbit sense not even close in performance but very close in dollardollardollardollar,battery
63,the sleep tracking and mobile apps r great,screen
64,i have no idea it would be there because this is in front or mai gate and 100s of people coming and going we will check tomorrow as soon as we reached there,others
65,i have a small wrist so the adjustable band on this apple watch is perfect for me,strap
66,i like the quality of the watch so nice to use price ok however can be more less expensive,others
67,this brand getting more and more complicated in simple things my messages not working on watch brand new just bought it spend half a day with apple support and it looks like they do not know what to do samsung never failed me and easy to set up all messages and notifications flawlessly working this garbage going back to apple for dollar460 lol what a crap,others
68,love the watch but it does not come with a usb converter or ac dc adapter to charge it pretty chincy choice of packaging for apple who is known for quality and user friendly products,others
69,i bought this for husband and i have series 3 with me when we compare both you have to charging for series is 3 just for 15 mins but to series 7 it takes like 22 mins and still need to keep one more time in a day so a part form battery every this is good quality and all,battery
70,the watch is simply amazing it has ticked all the boxes a smart watch should have amazing battery life and accuracy in health reading is awesome cheers,battery
71,i have had a samsung phone and watch forever just purchased a iphone 13 and this watch absolutely amazing,screen
72,i love my apple watch with my whole heart,screen
73,i have a series 4 and have never felt the need to upgrade as my battery life still lasts me nearly two days it has not been slowed down by any software updates and still works fine i finally decided to upgrade to the series 7 for the larger always on screen and blood oxygen sensor it is definitely not worth it i do not know if it is due to the always on screen or what but the battery life of this new series 7 is far worse than on my 3 year old series 4 watch when i take the watch off it only has 35percent battery left at the end of the day and that is with barely any use whereas my series 4 can still end the day with over 50percent battery left i imagine if i had any workouts or used many apps on the watch during the couple of weeks of owning the watch it would have died before the end of the day also the blood oxygen only seems to work about half the time and the readings are all over the place again i upgraded to have the always on display but that is pointless if i have to disable it to get decent battery life,battery
74,it is my first apple watch an awesome feature like monitoring the heart rate blood oxygen ecg on demand it is very comfortable to wear many daily reminders activity alerts very smooth fabulous touch the series 7 45mm is the best and most high resolution screen it has some wonderful nice watch faces along with custom faces features it is a great product from apple battery life is too good it is the best smartwatch for iphone owners,screen
75,by far the best smartwatch to be used with the apple ecosystem the integration is amazing and you can do practically everything with it including going for a walk with the headphones connected directly to it with music downloaded from spotify really amazing,screen
76,love the gold finish it is not too overwhelming the size is amazing loop is durable and high quality worth it,strap
77,very functional for those who use the apple ecosystem I need heart rate measurements etc. many options for apps and bracelets I find it interesting for those who want to use it in physical activities who only look for cell phone notifications I think the cost x benefit is low for these cases a smartband of 200 reais watch out good,strap
78,not a good battery at all will not get another one,battery
79,my watch ran out of power in less than 2 days,battery
80,my husband went to open up his birthday gift of this apple watch and there was the charger the band but there was no apple watch in the box this is the second time i have ordered an apple watch off amazon and received no apple watch,strap
81,the watch is good nothing to complain mainly because it is much cheaper than the one sold by apple everything came right in the packaging only the invoice was missing that did not come with the product and that I asked the seller but I have not received a return since then,others
82,it is a great watch,screen
83,great watch and great features but the battery does not last long it has to be charged every night,battery
84,excellent arrived before the delivery date new original and sealed product,others
85,cons so if you are switching from a fitbit for your first apple watch like myself you will miss your fitbit it does not track your calories all day like your fitbit because it does not automatically detect your work out calorie burn it does not track your sleep details the same either i almost want to buy a fitbit that is just weird though wearing 2watcheslast bad thing is the battery you have to charge it every day ohand mine was not charging i had to go to best buy and get another charger cable i got the one with usb port then it started chargingscrew that other one it does not work pros it is fun technology i like how my ring notifications come out on my watch and it shows the video i like how i am washing my hands and it times it it is good to check your blood oxygen and heart ratebut that is it pretty much i can still control my my music like on my fit bit i do not really text people from my watch i guess that is the other benefit but other than that nothing really amazing about it i did not get cellular you do not need it if you always have your phone near by it connected to my phone quick i miss my fitbit though the only sad part,battery
86,i would not give this watch up for anything i have afib and i am able to check when i have episodes tonight i took a hard fall and i was greatjul to be able to stop the alarm i was just barely ok,screen
87,i was in need of an updated watch my old one was a series 2 and just was not working well anymore so happy i got the 7 i absolutely love it 100percent recommend getting,screen
88,my watch charges at night so i can not take advantage of the sleep tracking,screen
89,this is my first apple watch i bought it for the health apps to track heart rate and rhythm on the second day wearing it i had a major cardiac event that included svts and afib my pulse was accurately tracked compared to the medical equipment at the hospital the afib detection worked accurately but only when my heart rate was around 100 bpm or lower see the second picture when my heart rate was 101 it did not detect the afib even though the machine in the hospital did,screen
90,battery life lasts less than 1 day without using many functions ons,battery
91,product was as described delivered a day late would recommend but the shipping needs to tighten up,others
92,first i love the color i had another brand fitness watch that i really liked but this one is awesome and i love it it has all the amenities and syncs to my iphone perfectly there is only one thing i think needs improvement the battery life i have found myself recharging the watch more often than desired,battery
93,amazing watch i bought it from amazon warehouse works great pristine condition i was able to purchase apple care too i got the stainless steel with dark cherry band looks so pretty,strap
94,it is extremely irritating that apple will send you a dollar400 watch with absolutely no way to charge it it is so exhausting how they keep changing things like this to force you to buy new accessories they did not bother to include the required usb c power adapter with the watch something that almost no one actually has so you need to shell out another dollar20 and hope your watch with horrendous battery life does not die before you can get one either give us a power cord you can plug into a standard usb driver or give us an adapter with a usb c plug this is really ridiculous,battery
95,watch is very versatile and looks great easy to use and an abundance of info be careful our first box was missing the actual watch and one band seems like the seals were broken amazon replaced immediately,strap
96,i am upgrading from a series 1 so it is a completely different watch i am very satisfied with this purchase most of the heart monitoring functions only work with people older than 22 which is frustrating for me especially since i paid for the watch so i should get access to all the features nonetheless i really like the starlight apple watch and band it is very subtle and nice to look at hopefully braided solo loops get a sale soon bc i really would like one it is a pain that they do not give power bricks but this is the new age i highly suggest you purchase many usb c power bricks and switch all cords from usb a to usb c anker has great ones and you can always find deals for them,strap
97,love my new apple watch somehow makes me be less busy with my phone,screen
98,i am a first time apple anything owner this watch pairs very well with my 13 pro it has a ton of features,others
99,i orderd new apples series 7 but when received the package i could not turn it on and it is could not received charging power what i should do,others
100,she loves it we are not a tech family and she had it figured out in no time we got the gps and the distance it works from the phone is very impressive,others
101,i liked that there are more choices for backgrounds and i really like the meditation reminders too i use those everyday the new health add ons are what i was looking for the most,others
102,its like having most of the features of an iphone on your wrist so it is convenient you can receive calls answer texts too hate the battery if turn you on always on it lasts barely a day i can stretch it out to 2 days with only the necessary features apps still worth it once you get used to the daily charging,battery
103,awesome watch charges faster than previous versions more or display area,screen
104,love apple watches as soon as i saw the larger face on the series 7 i had to upgrade tons of watch face options as well definitely recommend and can not beat with dollar50 off,screen
105,love the product 100percent you know what you getting already i just like the fact there is options like these used ones but really it is just small damage on the box,others
106,i love this watch when i am working out i can track my heart rate blood oxygen ecg time spend on each exercise etc i am getting more use out of it in my day to day than i ever thought i would the only real downside is the battery life when using all the features you need to charge it once a day minimally and it takes an hour and a half or so to charge which is not horrible but i wish i had a little more time between charges i am giving it 5 stars anyway because it is so useful in every other way,battery
107,wonderful watch easy to use and setups,screen
108,i thought watches were outdated until i bought a fit bit for fitness tracking in less than a year my desire grew for more fitness data and i added swimming to my routine i bought an apple watch series 3 exactly 3 years ago loved it passed it onto my daughter and upgraded to the 7 series i absolutely love these watches the 7 is easier to use if that is even possible and the battery life is much much better than my 3 if you are a first time buyer or looking to upgrade i highly suggest this one,battery
109,"the watch is incredible I have to admit and it is beautiful, I pay the bill by approximation see if your bank is compatible it is very focused on health issues it monitors heart rate oxygenation in the end it is a very quality device but think twice before buying because it is very expensive see if it's really worth it for you",others
110,It connects easily to your iPhone. What I love most about this watch is that it helps me with my low blood pressure. It tells me every time I'm in my anxieties and tells me how much my heart rate is.,others
111,the watch battery dies in 10 minutes i had apple watch before and this is not the norm i left it charging overnight and still low battery even when i got a new charger,battery
112,the recipient loved the watch he is happy i am happy too,others
113,love the watch battery dies fast so i have to charge it and then i forget to put it back on,battery
114,when i bought this apple watch series 7 was out of stock almost everywhere but amazon had it in stock with free overnight delivery and it was dollar30 off retail price it arrived well packed in its original unopened box and in perfect condition i have been very happy with the watch and the graphite milanese loop band,strap
115,resisted buying one for couple of years at 79 i decided to give in i did add cellular services exercise walking without having to carry iphone is great all the health features are too numerous to mention but i use them daily charges in 45 minutes highly recommended,screen
116,i just upgraded from a s3 and to be honest i have a hard time finding the improvements the screen because of the rolled edges and the way text kind of rolls off the side looks strange and gives the impression your using a 3rd party app that was not designed for your system but you are not it is apple the ecg system is honestly the only reason i bought the watch and love that feature if you do not need the ecg stay with the se or s6 as that one does not utilize the rolled edges,screen
117,i liked the watch overall and use it to avoid using my cell at some times during the day like work etc,screen
118,the battery of my apple watch drains very fast did adjustment did not help may be watch is deflective thinking to return back to amazon,battery
119,love it note this watch keeps me up to date it's stylish with a leather strap and you'll look great with any outfit,strap
120,"the watch is very beautiful and has several functions for health monitoring as a whole, it must be charged daily but the recharge is very fast",others
121,love the color choices battery lasts a lot longer have not used the sleep tracking feature but really like the blood monitoring feature,battery
122,only the battery could last longer,battery
123,best watch ever king if kings no issues so far,screen
124,this watch has literally everything you can imagine setup was easy except the ecg which i have not done yet will need to google it i do not understand the griping about missing block really you have an apple watch with an a but not a c if you do not have the block just purchase a couple of converters for dollar7 and plug into c,screen
125,can not believe i waited this long to get an i watch,screen
126,this is my very 1st apple watch and so i got the gps version because i did not know if i would like it or not or really use it and now i am happy i ordered this i find myself using this for everything now and almost never take my phone out of my pocket when i am out on the go i can read all my facebook messages and my text messages form the watch although one thing i do not like is that when i get the message it pops up the message on the watch as soon as i get it so others can read it if you do not look right away and read or clear it from notifications think it may be a setting or something that could be fixed with an update but have not really looked at all the settings on the watch yet just used it as is after setting up,others
127,it is a watch lol what more do you want alright let is see screen is great scratch resistant but not impervious which is fine great product you can talk to your watch for calls just like power rangers what more do you need lol the box that it comes in is worth it too love the box presentation love it one big flaw does not seem to want to work with amazon music guess apple company does not quite like its competitors but it will connect to pandora lol,screen
128,seems to be a great watch so far but really wish they would have included an ac adapter for the usb c wall plug,screen
129,this was a great christmas present my significan not other really enjoys to wear the watch the original band that comes with it is also small enough for people with very slim spindly antenna like wrists to wear comfortably it has many nice features including weirdly enough a strange ability to read how much oxygen is in your blood that has something to do with lights and colors and sounds and the feeling of being on a giant rock that is moving through space at incredible speeds you are alive look up look up i see you now you look nice take care of yourself enjoy this product by apple goodbye,strap
130,i really like the series 7 apple watch many improvements over the series 3 that was a good watch too the watch face choices seem to go on and on the 41mm size seems to fit me better than the 38mm the extra features are really nice you can read all about them when you go to apple website i got the blue watch matches my new blue iphone12 took 4 days to receive it guess this is a very busy time of year if you are a fan of apple watches then you will love the series 7,others
131,i upgraded from an apple watch 3 to this and it is much better i love the larger screen and the ecg and pulse ox functions,screen
132,battery could have been better,battery
133,after years of using pebble and amazfit watches i decided to go apple watch because of the heart monitoring features and solid support for my ios devices phone tablet the watch works great getting it setup with my iphone 12 pro was just a non event it worked instantly the display is amazing just gorgeous the reaction time with using the screen crown or button is instant no lag at all the only issue i have is the battery i never went to apple watch before series 7 because 24 or less hours of battery life and having to carry a custom charging base everywhere i got is just untenable series 7 docs state even with always on display the average is a goal of 18 hours ha i am lucky to get 10 or 12 and it does not even do much during the day i have tested others like several android watches over the years too and none were this consumptive of battery the sleep tracking works fine but it is not comfortable to wear in bed all night i do not think any band is overall i like it i will use it it works super well with my iphone and the apps are great but honestly if i had known the battery life was this short with average usage i would have probably gone with another amazfit or the pebble based fitbit versa 3,battery
134,great product and great battery life even though it stays on all the time wish mine did,battery
135,i received this watch yesterday today i needed to re charge the battery guess what the charging cable does not fit into any of my apple charging adapters i called amazon and was told that the adapter does not come with the apple watch the charging adapter must be bought separately are you kidding me what a rip off,battery
136,the screen is bigger and easier to read than series 5 I had a negative point the jadlog carrier made delivery a day late,screen
137,i gifted the watch to my girlfriend for her birthday this month and she is enjoying it already she is really into fitness and health aspect of the watch she is having fun exploring the other features as well call texting ect,others
138,love my new gold stainless watch delivery was extremely fast ordered on 10 21 and it was delivered in 10 24,others
139,i love my apple watch the things it can do i have afib and the ekg feature is priceless 5 stars for sure,screen
140,i had changed my apple watch series 6 series 7 has much longer life time and bigger screen which was crucial for me with my 45mm version recommend everyone to purchase if you are into tracking your sleep fitness and other activities,screen
141,this watch does everything you can imagine it is great,screen
142,i unfortunately am allergic to something in the watch i unfortunately had to stop wearing it after only three days due to an allergic reaction probably due to the nickel in the watch as for the battery for a watch that cost as much as it does it should last more than a day to a day and a half,battery
143,wonderful item battery very perfect drops after 24 hrs,battery
144,i like the size and it has help up pretty decent the battery life is not as good as competing products i,battery
145,had an apple watch to and thought i was going to notice a big difference going from my apple watch seven the screen scratches just like the older models apps run the same disappointed but life goes on save your money,screen
146,this is my second apple watch my first one was great so i decided to purchase a second one within a month of having the watch the wrist strap broke i reached out to apple and it seemed like i was going to get a new band free of charge that was not the case they billed me and have not reimbursed me i have had multiple conversations with apple without resolution i have been waiting since 2 22 for a reimbursement very disappointed with the service especially with crystal the supervisor i spoke with,strap
147,lots more info and options than the under dollar100 fitness watches really enjoying fitness workout options doubt i will ever go back to a lesser model battery life is not what i had hoped expected requires a daily charge fortunately it is a rapid recharge as far as accuracy often does not recognize that i am standing and have been for several hours simply because my arms are not moving enough while working at my standing desk it does provide notice though so i can flap my arms and achieve my rings good motivation overall it is a lot of money compared to other fitness watches but it is worth it,battery
148,the screen alone beats all else once somebody gets to see the screen of the watch the thirst is filled the biggest feature is the screen of the watch i picked it up frequently to look at it and then put it away,screen
149,it is a great watch i used fitbit samsung and some cheaper watches but all were a waste compared to this watch love how it integrates with my phone and reminds me to get off my butt all day long as a heart patient it monitors many things i need to keep an eye on like heart rate blood oxygen lever and so much more through the health app glad i finally bit the bullet and made this purchase a little disappointed in battery life compared to other products can not use the sleep monitoring benefits as i have to charge it every night love having mickey mouse on it so i can just tell people i got a mickey mouse watch,battery
150,just got watch the other day have been reading up on them for several months and decided to finally purchase one really like the health features i was going in for some test and told my doctor about the new watch and he said it would help with us staying in contact with vitals that he wants to track cool,others
151,phone although in new condition i have to question its longevity the charger cord that was sent for one is not and apple charger its a samsung charger you only receive part of charger you do not even get the c port just a useless cord actually made for another product this was dollar400 wasted not to mention my time   i honestly expected what i was paying for yes,others
152,the charger does not work at all it worked one time out of the box i just got this watch jan 31st so you would think the charger would work more than just one day i am really perturbed which is a nice way of saying i am so p o would i might send the whole thing back along with the ones i got for my husband and son except their chargers work,others
153,watch arrived on time as promised easy to use,screen
154,watch works as it should i have now track my sleep and have done better with getting sleep,screen
155,uuuh received my package and opened and both boxes the watch and band were completely empty be aware,strap
156,i love everything about this watch just brought an apple watch coming from samsung and by far apple is winning this watch here is a very good buy,others
157,this concept of my phone on my wrist is very cool opted for cellular model for physical safety might not always be real close to my phone,strap
158,what can you say it is an apple watch which is pretty much perfection nothing not to love about it,screen
159,battery does not last,battery
160,wife loves the blue color and size of her series 7 41mm it seems faster and better than my series 5,screen
161,the watch pleasantly surprised me the battery lasts all day and charges super fast really good,battery
162,i had the apple watch series 6 and hated how short the battery would work this one is battery lasts way longer a lot quicker to charge item was as described amazing resolution i love everything about this watch honestly super simple to install and start using i believe it took me 30 mins tops i love how it is way more accurate on my sleep heart rate and all my movements and stats my issue with series 6 is it was not accurate as well and would not track my sleep no matter how much troubleshooting i did this one i have my sleep tracked on here and way better application overall i highly recommend this watch for people wanting something to have that does so much more than other watches and has a iphone so they are connected all day long i am so happy to get this for christmas and will never look back,battery
163,i like the bigger screen it is easier for me to type to reply to messages i wish the battery life was improved to at least 5 days however there is not much upgrade to features compared to my friend is 6 but i love the shade of blue and the rounded corners if you have series 5 or older go for the upgrade,screen
164,it arrived without the original apple packaging,others
165,with all the iphone functions turned off this watch loses 20percent of its charge each day just sitting and doing nothing itself,battery
166,i previously had a fitbit and loved it decided to upgrade to an apple watch was very upset to open the box and not find a charging cube since the charger has a type c end on it you need a special plug cube i did not have any so was not able to use my watch until i purchased an adapter or charging station for the cost of the series 7 apple should include the cubes or at least an adapter battery life is terrible only 18 24 hrs hard to track sleeping when you have to charge so often,battery
167,the best watch ever,screen
168,love this watch only two detractors kept it from getting all 5 stars one had to wait to change the watch for several days since it did not come with a usb c plug in two was there were no directions on how to hook the band i have never had anything like the one that came with it and i put it on wrong and it kept falling off thank heavens i have a young niece to explain how to use it,strap
169,i liked that i can track my o2 level and sleep,screen
170,this is my first apple watch i bought it from apple and i love it still learning all it has to offer i am disappointed however in the display this series is touted to be more rugged than previous series i am not that rough and after less than 2 months i already have 2 large scratches see picture at first i had a plastic film on it but once i got active moisture accumulated underneath there are were no covers available plus i did not want to add bulk to the already large display of course the warranty does not cover this eventually i will use my applecare to replace it,screen
171,worst in it is battery length i think amazfit and fitbit are far far better than this,battery
172,only pain i had was the initial setup apple watch is simply superb strong battery life easy to use,battery
173,the battery should have been more durable,battery
174,glad i ordered this off amazon it works perfectly and i have zero complaints by the way it is my first apple watch,screen
175,the battery wears out too soon,battery
176,watch already well known expensive but does not disappoint for what it promises store sold right everything original and working well arrived faster than the maximum term much cheaper than in physical stores,others
177,i loved my new apple watch series 7 the green color is very nice and the big screen it is noticeable,screen
178,wifey loves it there is a learning curve though deal with it,others
179,the sleep tracking do not satisfied me at all and so do the battery life i have a mi band 6 and while it loses 7percent the apple watch loses 43percent i am not kidding this is insane,battery
180,the watch is amazing brand new just make sure that your phone is updated to the last update available so that the pairing process is quick easy,screen
181,i love this watch it is a good size and the stock band feels nice i am not on my phone as much since getting it i had an amazon gift card so i used it for this watch after having it i would not pay the price since i am just not a watch guy but i do like it and glad i got it if price is not an issue i would definitely would get it,strap
182,wife loves it super cool model and very advance crazy what these things can do and how in tune with yourself you become she works on her feet a lot so this watch has made so many things phonewise easier,others
183,"The product complies with the characteristics, the colors and brightness are great, the battery continues to be a must for Apple compared to other competitors, it lasts approx. 48 hours with its charge and regarding monitoring, it complies with the basics.",battery
184,i do not know how to use this watch it is smarter than i am,screen
185,love my new watch i ordered the extra wristbands and change them to match what i am wearing or just to match my mood,strap
186,i absolutely love my watch only bad is battery do not last but one day,battery
187,the older i get the more i rely on my apple watch to track all my health issues so when i go to the doctor i have a good report of my body to present to him i can pull my activity counts average heartrate run an ekg and more it even tells him how much i am hydrating if i take a fall the watch detects and asks if it should call for help it tells me when i have been watching my televised story programs too long and need to stand up and move and also tracks how well i am sleeping the bigger screen on this model is also helpful to my failing eyes,screen
188,perfect gift for our daughter green is a great color,others
189,"the apple watch works very well, fluid navigation and several applications to access the seller is mega attentive and responds quickly",screen
190,my mom loves it will use it to track heart rate and oxygen level,strap
191,i upgraded from a series 4 apple watch i like the always on display and the added blood oxygen measurement other than that it does not do much of anything that the older watch does not do but imo it is enough to justify the upgrade fwiw the slightly larger display is not at all obvious is it a little bigger yes but if i was not told beforehand i would never have noticed,screen
192,this was a brand new apple watch series 7 many people rated this item very low because it did not come with a usb c adapter but it was already mentioned in the description of the product that apple was not providing adapters anymore the low reviews made me nervous about the package coming in but i was very happy and satisfied with this watch ps this is my first one i have ever owned,others
193,this apple watch does not support kt cellular in the region apple watch can only be used with cellular plans that are certified by your carrier i live in south korea and as soon as i turn on this watch this is what i get what a disappointment,screen
194,went from a series 2 to a series 7 i love my new watch,screen
195,love the apple watch keeps track of exercise messages emails and everything you need,screen
196,ordering and receiving went fine i am disappointed with the watch though i just switched from fitbit to the apple watch 7 and had an expectation that i would be able to configure my watch face how i wanted i want to have my step count on the face and i want to see my current heart rate not what it was 7 minutes ago those two things make me think my purchase was wrong and i should have stayed with fitbit my two other major disappointments are with the battery life my fitbit had a 5 7 day battery life and not coming with the brick i had already upgraded my phone so i knew there would not be a charging brick and cable but still very disappointed i have only had my watch for 3 days but am not sure if i made the right decision or if i will go back to fitbit so disappointed,battery
197,the watch is great the battery should last a little longer the screen is very beautiful and the finish is impeccable I recommend it,screen
198,battery life is great i have a pretty active day 8 5 10 hours and use it for music i charge it maybe once in the afternoon and do not have to charge it again until midday the next day,battery
