,Text,Text Classification,Sentiment
12,this was a great christmas present my significan not other really enjoys to wear the watch the original band that comes with it is also small enough for people with very slim spindly antenna like wrists to wear comfortably it has many nice features including weirdly enough a strange ability to read how much oxygen is in your blood that has something to do with lights and colors and sounds and the feeling of being on a giant rock that is moving through space at incredible speeds you are alive look up look up i see you now you look nice take care of yourself enjoy this product by apple goodbye,strap,positive
13,this is my second apple watch my first one was great so i decided to purchase a second one within a month of having the watch the wrist strap broke i reached out to apple and it seemed like i was going to get a new band free of charge that was not the case they billed me and have not reimbursed me i have had multiple conversations with apple without resolution i have been waiting since 2 22 for a reimbursement very disappointed with the service especially with crystal the supervisor i spoke with,strap,positive
14,uuuh received my package and opened and both boxes the watch and band were completely empty be aware,strap,negative
15,this concept of my phone on my wrist is very cool opted for cellular model for physical safety might not always be real close to my phone,strap,positive
16,love this watch only two detractors kept it from getting all 5 stars one had to wait to change the watch for several days since it did not come with a usb c plug in two was there were no directions on how to hook the band i have never had anything like the one that came with it and i put it on wrong and it kept falling off thank heavens i have a young niece to explain how to use it,strap,positive
17,i love this watch it is a good size and the stock band feels nice i am not on my phone as much since getting it i had an amazon gift card so i used it for this watch after having it i would not pay the price since i am just not a watch guy but i do like it and glad i got it if price is not an issue i would definitely would get it,strap,positive
18,love my new watch i ordered the extra wristbands and change them to match what i am wearing or just to match my mood,strap,positive
19,my mom loves it will use it to track heart rate and oxygen level,strap,positive
20,i wear it all the time sleep tracker is amazing and the activity rings are accurate,strap,positive
21,purchased this as used from amazon it is in perfect condition no scratches or anything great price for a basically new watch green band purchased separately,strap,positive
22,the packaging it was horrible as i opened the watch it fell out the box it was no secured in the box and no band what kind of advertising is that,strap,negative
23,if the actual watch itself was in there i would have been thrilled but opening the box to see a band and a charger was extremely disappointing after i paid dollar400,strap,negative
24,i was super excited to receive the newer version of the apple watch as it was a huge upgrade from my apple 3 when i got it the thin card board box not the shipping box it came in was torn in a couple spots and it was also missing the band it was supposed to come with so i returned super disappointed,strap,positive
25,the band is not starlight like the picture shows it is an ugly beige no power adapter for the magnetic charger so i can not even charge it should come with the adapter,strap,negative
26,i was disappointed in the color of the band i thought it looked like pearly white,strap,negative
27,first of all it took forever to set up then i was trying to set up the heart monitor an hour later found out u have to be 22 to use it the band on this watch is useless slips easy this thing is going back and i will stick with my series 5 then i am going to by an android phone so i can be free of apple,strap,positive
28,bought this as a gift for my wife she will not wear it with the existing strap everytime she hits an object with her wrist the strap pops open and she is afraid to use it,strap,positive
29,the watch comes with two bands one is too small the other is too big i lost my watch the first time i wore it not happy,strap,negative
30,i prefer warp type band watch great,strap,positive
31,nice watch in stainless steel only wish it came with the xl band i had to get at the apple store,strap,positive
32,i bought new one and band is not fitting the watch,strap,negative
33,got it for the wife fir xmas like most apple products it is way over priced for what it is,strap,positive
34,the main thing is band needs to be much smaller even the smallest size is too big,strap,negative
35,the watch is great the band keeps opening not a very good latch system for this price watch,strap,positive
36,i would have chosen another color but this was available the sports band feels like skin and is extremely comfortable i got the watch to track my health readings during sleep my cpap was under fda recall not to use so i was monitoring my o2 level sleeping without cpap o2 levels were dangerously low so i got another cpap and they came up to normal levels the watch clearly showed this the watch has so many more features that i may sometime use i recommend the series 7 watch,strap,positive
37,okay if you like strapping a phone on your wrist,strap,positive
38,original apple product came all right nf sent by email and tmb along with the product arrived extremely fast and very well packed I am very happy with the purchase,strap,positive
39,gave this to my husband for xmas and he loves it helps monitor heart rate and very nice looking when he wears it,strap,positive
40,wear for my heart blood oxygen,strap,negative
41,watch is fine overall does all as expected the band however broke the second time i took it off see picture highly recommend buying at least 1 2 more bands when you purchase the watch to avoid the down time the cheaper bands appear to be higher quality than the one it comes with,strap,negative
42,not to happy with the watch band that comes with it love the fact that i can keep in touch with my family and friends,strap,positive
43,apple watch would not work correctly since i have tattoos i like to watch it like the features i bought it mostly for the fitness tracking ability but since my tattoos are full sleeves on both arms it will not work correctly i could buy a an anklet but then you have to change the wrist band daily to much work,strap,positive
44,have avoided the apple watch because of inaccurate heart rate readings from the wrist when exercising but the series 7 pairs with the polar h10 chest strap for very accurate readings connects through settings blue tooth health devices have not had any problems am very happy with this combination,strap,positive
45,i was suspecious becuase this came in a amazon box then when i opened the box it came in the apple watch box but without the clear plastic packing over it but it did have the green pull tabs on it and it as not tampered with this is the real thing i love it so much,strap,positive
46,the best thing about this is the ecg oxygen saturation which is temperamental and only works some of the time fyi it is a lot of money for the convenience of having your phone on your wrist which is pretty much what it is friends have the cellular version mine is only gps and they think it is life changing i can still talk on mine as long as my phone is around across the room upstairs it still works i have not been able to figure out the sleep tracking upgraded from fitbit and gotta say their sleep tracking is superior in ease of use and results only cost dollar69 that also had heart rate tracking if you work where you can not use a phone i can see the work around of still having your phone but not it is a lot of money to skirt around the no phone rule maybe i am just old school am used to not looking at my phone every second of every day my review is meh i will not return it but i can see living with out it maybe that will change with time,strap,positive
