"id","profileName","text","date","title","rating","images","helpful","Style","Size","Color"
"RF29D73COC8O0","Johnny H","
  Looking thru all the reviews and most of the negative ones are about battery life not satisfactory. I have tested my Apple Watch series 7 with not having the “always on” display and found that if I turn that setting off I only burn 25-30% battery in a full work day 10 hrs. I don’t know about you but if I’m not looking at my watch, why would I need the display on? When you turn “always on” display feature off watch display comes on only when you look at it immediately and that’s perfect for me. Just go to display and brightness on your phone in the Apple Watch app and turn off “always on” . Think about if your phone had a setting where it was always on……it would be dead in no time and everyone would be complaining the battery doesn’t last.
","Reviewed in the United States on January 3, 2022","Everyone complaining about battery life",5,"","46","GPS","45mm","Green Aluminum Case with Clover Sport Band"
"R3LMLB9YGBWML6","Zara","
  It’s a great watch and thanks to amazon I received it a month earlier (10/22)  than ordering from Apple or Verizon and waiting to be delivered on late November or early December.
","Reviewed in the United States on October 23, 2021","Great watch",5,"","98","GPS + Cellular","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R2FUEBF4TCZ84G","Joyce","
  I am 73 years old. The week after I purchased this watch I fell. This watch immediately alerted to ask if I needed emergency help. The emergency button was on screen available for me to press if I was injured or could not get up. It requested confirmation that I did not need help. I wish I had it earlier this year when I had broken my foot from a fall, rather than hobbling to a phone I could have just pressed the emergency button. Thank you, Apple Watch.
","Reviewed in the United States on December 3, 2021","Great Smart Watch",5,"","46","GPS + Cellular","41mm","Midnight Aluminum Case with Midnight Sport Band"
"R30S7Q87A5EZBO","Dtrejo91","
  5 stars not here for the tech review. There are people was more qualified than me. Just here to warn all those who purchase the stainless steel version with the Milanese Loop band. The band WILL scratch the watch. No matter how careful you are. That’s damage done in less than a week babying the watch and band as I remove it. If this bothers you I would stay far away from this loop.
","Reviewed in the United States on November 8, 2021","Be careful with the included Milanese loop",5,"https://m.media-amazon.com/images/I/71X0shnriJL.jpg","58","GPS + Cellular","45mm","Graphite Stainless Steel Case w Abyss Blue Band"
"RNGVGHWVJ05Y3","S. Massie","
  Phone although in new condition, I have to question its longevity. The ""charger cord"" that was sent for one is NOT and APPLE charger. Its a Samsung charger. You only receive part of charger, you don't even get the C port, just a useless cord actually made for another product. This was $400+ wasted not to mention my time...........I honestly expected what I was paying for, yes.
","Reviewed in the United States on November 23, 2021","USELESS, sends wrong and partial charger...Not APPLE CHARGER BEWARE!!!!",1,"","72","GPS","45mm","Starlight Aluminum Case with Starlight Sport Band"
"RGDI6ZASRM8WI","Chloe’","
  Phone is awesome. However on day 2 I scratched the watch doing dishes. I thought the watch was indestructible. Come to find out it can crack and scratch. Please get tempered glass and case unless you purchase stainless steel and sapphire glass. This model is 729 gps cellular stainless steel. Make sure you get apple care through carrier think it’s cheaper. Note stainless steel van still scratch but it is quite durable. Other than that this is my 1st Apple Watch and the ease of use is phenomenal as well as the merging of my cell phone with the watch. Mom gave it as a gift and I absolutely love the fact that I can get a real time pulse ox+ hr+ and ekg! Fall detection is great cause I am a diabetic!!! This is the watch for those who want to be independent but have health issues that can  cause barriers to that goal! Safety wise it’s a keeper💪🏾
","Reviewed in the United States on October 24, 2021","The low down",4,"https://m.media-amazon.com/images/I/61RPq7fPvTL.jpg
https://m.media-amazon.com/images/I/61vCsGDnNFL.jpg
https://m.media-amazon.com/images/I/713vl5O3h7L.jpg","66","GPS + Cellular","45mm","Starlight Aluminum Case with Starlight Sport Band"
"R16EOAXAYGRXLA","Amber","
  So let me get this straight. I spend $1000 on two brand new Apple watches as gifts, to only get them in and find out we have zero way to charge them!???  Big BIG fail Apple. Unbelievable.
","Reviewed in the United States on December 6, 2021","No way to charge!!",2,"https://m.media-amazon.com/images/I/51Ohs1xAI2L.jpg","40","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"RIG16OBWTFS8J","Davidzhang","
  They gave me a 41 millimeter version when I double checked what I got and not just that when I tried the family setup it said to need a gps+cellular and that’s what I got so I have a strong suspicion on them that they gave me only the gps version so I think that they did it on purpose wasting my time and almost tricking $100 from me
","Reviewed in the United States on November 6, 2021","They rip off",1,"","50","GPS + Cellular","45mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R26WPT7VM1J0JX","JilSpan","
  I love the watch and am sure once I get cell service added it will do exactly what I need it to do.  I got this solely for the “Fall alert” function. I find it a  MUCH cheaper alternative than life alert and those kinds of services.Many other features - as listed in detail on the watch description. BUT **IMPORTANT TO KNOW**The “charger” included is the cord only! It has the round disk type on one end of the cord and USB-C end on the other.  It ONLY plugs into a USB-C charging cube.  The cube is NOT included.  You can buy one here for relatively cheap.  But I recommend you buy one when you order the watch if you don’t already have one.  I have an old Galaxy 9S phone that has a C port, so I can charge it on that for now. But that is a short term solution.  My other option was to wait 5 days for Amazon before I can use my watch.Watch did come with 87% charge, but set up took battery down to 55%.  So you will need a charging cube when you get the watch.  Again- a cube with a C port… NOT a lightening or regular USB port.
","Reviewed in the United States on November 4, 2021","FULL CHARGER IS NOT INCLUDED",4,"","39","GPS + Cellular","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R2VJ03DYINJVDT","Kathy Munoz","
  Cons: So if you’re switching from a fitbit for your first Apple Watch like myself you’ll miss your Fitbit it doesn’t track your calories all day like your Fitbit because it doesn’t automatically detect your work out/calorie burn.  It doesn’t track your sleep details the same either I almost want to buy a Fitbit..that’s just weird though wearing 2watches…last bad thing is the battery you have to charge it every day oh…and mine wasn’t charging I had to go to Best Buy and get another charger cable I got the one with usb port then it started charging…screw that other one it doesn’t work.Pros: it’s fun technology I like how my ring notifications come out on my watch and it shows the video. I like how I am washing my hands and it times it. It’s good to check your blood oxygen and heart rateBut that’s it pretty much I can still control my my music like on my fit bit I don’t really text people from my watch I guess that’s the other benefit but other than that nothing really amazing about it. I didn’t get cellular you don’t need it if you always have your phone near by. It connected to my  phone quick. I miss my Fitbit.though the only sad part
","Reviewed in the United States on November 28, 2021","Miss my Fitbit but fun watch",3,"","27","GPS","45mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R27BL5NNMSZ6PR","Su","
  I ordered this watch at least 25 days ago, finally got it today and made a surprise to my wife. She definitely loves this watch!It works very smoothly and also very cute design. I am glad I picked right color, the starlight color perfectly matched her.
","Reviewed in the United States on November 4, 2021","Best surprise to my wife",5,"https://m.media-amazon.com/images/I/51a4wcQ6odL.jpg
https://m.media-amazon.com/images/I/71gA+AL2CPL.jpg","35","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R3U2SHAPYL5T80","GeorgiaPeach","
  None too pleased about a couple things: Made in China, and didn’t come with a USB-C charging block. I happen to be temporarily staying near my parents’ home in the middle of nowhere where I can’t just drive down the road to pick one up, which means I have to drive 30 miles and it’s continually snowing here with bad roads or order one and wait. When you’re from Atlanta and have everything at your fingertips, this sort of frustration should not be encountered, particularly when dealing with Apple. We Apple buyers have grown accustomed to the finer details and Apple cheaping out leaving us inconvenienced like this is extremely the wrong move by Apple. For me, it’s not about the cost to go buy a $10 USB-C block, it’s the inconvenience and hassle it poses me that I have to drive 30 miles one way in the stupid snow to do it. Geeze. Now my pretty new watch sits here dead.
","Reviewed in the United States on December 8, 2021","No USB-C Block Included And There Should Be!",4,"https://m.media-amazon.com/images/I/61MCleHnbgL.jpg
https://m.media-amazon.com/images/I/61iFDNHL2DL.jpg
https://m.media-amazon.com/images/I/71EBwUL0fnL.jpg","29","GPS","45mm","Starlight Aluminum Case with Starlight Sport Band"
"RJ7MW5UJM8P67","Amazon Customer","
  I received this watch yesterday.  Today I needed to re-charge the battery.  Guess what!  The charging cable does not fit into any of my Apple charging adapters!  I called Amazon, and was told that the adapter does not come with the Apple Watch!  The charging adapter must be bought separately!  Are you kidding me?!!  What a rip-off
","Reviewed in the United States on December 29, 2021","They don't include a charging adapter!",1,"","32","GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R34498DG5WB2QD","Kathleen","
  I ordered this on 11/26 and received it at 6am on the 27th (gotta love rush overnight shipping being a prime member).This was an upgrade for me coming from the Apple Watch 3 and then going to Whoop for a year and a half. Ultimately decided back on Apple for the smart watch features.Few things to note:1. The screen is a lot bigger if you’re used to a  41 or 42mm. Personally love the bigger screen but I also have a bigger wrist so it fits very well.2. The watch does NOT come with the “butt” part of the charger you plug into the wall. If you have a newer charger for your apple devices (Ie when I got my iPad earlier this year I had gotten a full charger that I can swap the wires out with this) you’re all set. If not, go buy a charger when you’re purchasing this3. The watch, for me at least, was closer to 90% charged so wouldn’t have been a huge deal if I had to Amazon prime or run to the store for a charger4. Features are advances compared to the 3 but still have a lot of similarities.5. Box comes with two band sizes. Small and then medium/large6. The packaging is very well done. I was impressed when I opened it upOverall I’m happy with this purchase (I knew I would be) as I spent probably 2 months comparing the new Apple Watch to the Garmin to find what would be best for me and my specific needs.
","Reviewed in the United States on November 27, 2021","Such an upgrade to the 3",5,"https://m.media-amazon.com/images/I/71iSJTQIp6L.jpg
https://m.media-amazon.com/images/I/71pWTdx3ESL.jpg","25","GPS","45mm","Starlight Aluminum Case with Starlight Sport Band"
"RGMLCWY7TPJ1N","RG","
  Apple does a lot of stuff well.  Mac Books, iMac, iPad, and iPhone.  As a fitness tracker it is excellent and how it integrates so well with the iPhone, but as a watch is another matter altogether.  The short battery life, the rectangular watch face limiting details, and no seconds indication when in low-power-always-on-display mode are all big drawbacks.The Apple Watch will get you at around 26 hours on a full charge. This is completely unacceptable if you are frequent traveler or someone who falls asleep with their watch on.  It is one more thing to charge in such a short time.  Your phone you put down after some time, but a watch is used more frequently.Sometimes in 2022 or by 2024, Apple should introduce an Apple Watch which has greater than 36 hours in a round face.  Until then, save your money.
","Reviewed in the United States on November 15, 2021","Poor Battery Life Around 26 Hours",3,"","27","GPS + Cellular","45mm","Graphite Stainless Steel Case w Abyss Blue Band"
"R1F1VGZG2VIBDS","Shelby","
  It took me a while to decide to upgrade my apple watch. Hard to justify a smart watch over $300, in my opinion, however, my Series 3 was so slow, took forever to install an update, no space for apps/data storage, etc...I got a Fitbit Charge 5 as a temporary place holder, tried to convince myself I liked it more than an Apple Watch, ultimately I came back to Apple.  I opted for the 41mm Series 7 because I didn't need an extra 4mm for another $100.It moves so seamlessly, fast to charge (lightyears ahead of the series 3), lots of new watch face templates to choose from, beautiful edge to edge display. Of course you can choose to have ""Always on Display"" but that will quickly deplete your battery life.Ultimately, just get the upgrade that is within your budget and you won't regret it!
","Reviewed in the United States on January 9, 2022","Go for the upgrade and thank me later",5,"","20","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R2MWC93X97D5QL","Peter N.","
  Got this watch at least 6 weeks before Apple could ship it.  Product is great.
","Reviewed in the United States on October 25, 2021","Amazon is first",5,"","52","GPS + Cellular","45mm","Green Aluminum Case with Clover Sport Band"
"R14EUE6KPZGW16","Julz","
  I felt like my Fitbit had been old enough to start being less accurate. And given that I have fallen into all of the Apple products, it seemed like the Apple Watch was a no brainer. It has been nothing but frustrating. I can’t figure out how to turn specific things on or off, and it even vibrates at four in the morning to tell me if it needs to be recharged, or if there’s any other insignificant thing going on. I turned off notifications and can’t figure it out. Also, I really appreciate it looking at Fitbit and looking at my steps. Not having to click 1 million things to see my heartbeat or my steps for the day. I can’t figure it out how to answer the phone, it’s not working with half of my stuff, it acts like it sends an email and it doesn’t.  I am completely bummed about spending money on some thing that was supposed to be helpful. I should’ve stuck with the Fitbit.
","Reviewed in the United States on December 5, 2021","So very disappointed",2,"","20","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"RW4SBCJMROA85","Sarah M.","
  Initially, I never wanted a Smart Watch. Then, my husband got one & I thought his was pretty cool. SO I started looking at one similar to what he had (a Fossil), but was unable to find something I liked, or could even tolerate. Since I have (and love) my iPhone, I decided to look into the Apple watched, and found this one on Amazon. Although the price was rather off-putting, my husband & I decided that, with all of the health benefits the watch has, I should go ahead & order it. Well, since getting the watch. I've worn it all day, every day, and I simply think the watch is AMAZING! I can check my heart rate throughout the day (something I need to do), and keep an eye on my blood sugar levels (since I am a Type One Diabetic, and have the DexCom App on my iPhone, it also shows on my watch--how cool!). The watch encourages me to stand up a couple of times an hour, which is great, since I work from home & sit at a computer for eight hours/day. I love that I can make/receive phone calls from the watch, too. In the week that I've had my watch, I've found that I use my watch more than I use my iPhone. And to think that I was so.very.opposed to getting a Smart Watch... Now, I don't know how I ever got by without it.
","Reviewed in the United States on November 12, 2021","LOVE this watch!",5,"","21","GPS + Cellular","41mm","Silver Stainless Steel Case w Silver Milanese Loop"
"REIXBD4BDN833","Gilgamesh","
  It’s a watch lol. What more do you want. Alright, let’s see. screen is great. Scratch resistant but not impervious. Which is fine. Great product.…You can talk to your watch for calls. Just like power rangers. What more do you need lol.The box that it comes in is worth it too. Love the box presentation. Love it.One big FLAW… doesn’t seem to want to work with Amazon music. Guess apple company doesn’t quite like its competitors. But it will connect to pandora lol.
","Reviewed in the United States on November 1, 2021","It’s a watch",5,"","25","GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R487U9WRE9OUV","Debbie Mullican","
  Was excited to get my watch only to find out there isn’t a charging block to charge the watch. So what good does it do if you can’t charge it. Don’t even know what to do now. All this money spent. Ugh. Very disappointing.
","Reviewed in the United States on December 9, 2021","Charging Block",1,"","21","GPS + Cellular","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R3F3F94PMPK0Q2","Brandon Golueke","
  The item works fine. Lots of great features for sure. However there were a couple of issues that make this product over priced. The first disappointment was that it only comes with half a charger! Luckily my wife already had a charger. The next was that this thing really only has a days worth of battery life. I have to take it off so often and forget to put it back on. I bought this thing to monitor health, which it does very well, however i have to take it off to charge every single night which means heart health isn’t tracked at night. For 500 plus dollars, this product should come with a charger (come on!) and it should have a better battery. Going to return it if I can.
","Reviewed in the United States on November 23, 2021","Short battery life, incomplete charger",3,"","20","GPS + Cellular","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R1CMCS1X5MX2QK","Michael Harrington","
  Lots more info and options than the under $100 fitness watches. Really enjoying Fitness+ workout options. Doubt I will ever go back to a lesser model. Battery life isn’t what i had hoped/expected. Requires a daily charge. Fortunately, it’s a rapid recharge. As far as accuracy, often doesn’t recognize that I am standing and have been for several hours simply because my arms aren’t moving enough while working at my standing desk. It does provide notice, though, so i can flap my arms and achieve my rings. Good motivation overall. It’s a lot of money compared to other fitness watches, but it’s worth it!
","Reviewed in the United States on December 25, 2021","It’s Worth It to Me",5,"","14","GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"RNL9UD8RWD004","Bill M","
  This is about my 7th smart ""watch"". I've have a couple of Fitbits, a Jawbone, a Zenwatch 3 (prettiest of the bunch), a Samsung Galaxy, and an Amazfit Bip (good watch for the money). I've basically got a smart watch museum. I got the Apple Watch because, honestly, I'm getting older and I wanted the fall detection and health features. I've had it for a couple of weeks and here's what I think, from bad to good.1. Battery life sucks. It'll get through one day, but that's it. The Bip would last for 3 weeks on a charge.2. The screen isn't great in direct sun. It's better than some others, but doesn't hold a candle to the Bip, which was somehow reflective in bright light, sort of like a Kindle.3. The sleep tracking is ok, about what you'd expect from a movement detecter, but the app for it isn't very good. Stick with one of the gadgets that goes under your mattress for now.4. It has some very nice watch faces, with custom complications. Best of the bunch.5. Very comfortable to wear. The big stem doesn't get in the way at all.6. The health features work great. It accurately tracks you pulse, and will check you blood oxygen and ECG on demand. I wish it would do the blood oxygen periodically with low saturation detection, but battery is likely a problem.7. The fitness features rock. Even without a subscription, the watch has helped me get my exercise.It has a ton of other useful features. Siri works fine, you can control Spotify with it, maps are kind of fun. Lots of other things. The really good thing is that, as the practical king of smart watches, there are 3rd party apps/integrations to do just about anything that could make sense, and it's unlikely the watch will be orphaned like my AndroidWear watches were.
","Reviewed in the United States on January 5, 2022","Truly excellent smart watch, if you need one of them.",5,"","13","GPS","41mm","Green Aluminum Case with Clover Sport Band"
"R19HHIMS6DX2FS","StoneMB","
  Just wasn’t as much of an upgrade as advertised.
","Reviewed in the United States on November 17, 2021","Doesn’t really offer much more than the 6 series",1,"","26","GPS + Cellular","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R1PAA8Q6LKUJ3O","Adriana Norwood","
  I’ve always been a smart watch user, however, being that I recently converted to Apple after finding that I enjoy their products and software, I needed a new watch.This product is beautiful. The screen is high resolution, it’s fast, and you can seamlessly transfer between phone and watch. The screen is small, but it displays a lot more information at once than I really expected it to, so using it isn’t a headache.I love the utility. Everything you think a smart watch should do, this watch CAN do. From needing a calculator, to switching your songs, tracking your activity & workouts- basing the calories burned on your heart rate. I exercise a lot and appreciate the information smart watches can bring. You can text, call, read emails, make payments. Etc.The only issue I have with the watch is an issue I have with apple products in general- if you’re like me and this is your first apple watch- you’re probably going to have to watch a tutorial or two in order to know how to turn it on, and to know what this watch can really do for you. Apple does offer “helpful tips” but those tips aren’t really comprehensive as to how to use your watch. I probably still don’t know all I can do with it, which is cool, but frustrating.
","Reviewed in the United States on December 20, 2021","great utility, stylish watch, needs more instruction",5,"https://m.media-amazon.com/images/I/71DdmCCSwwL.jpg
https://m.media-amazon.com/images/I/71VXi2NMuGL.jpg","11","GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R1T1I41BHA49DA","CJ","
  Series 7 is the best!! I love this watch and the larger face is amazing!! My watch was delivered with care on time and was a breeze to set up and pair with my iPhone. The size of the 45mm is insane!! I upgraded from a series 3 to series 7 and I’m so glad I did. Get you one it won’t disappoint!!!
","Reviewed in the United States on October 31, 2021","Series 7!!!",5,"https://m.media-amazon.com/images/I/61OgW-EUfqL.jpg
https://m.media-amazon.com/images/I/61rzMrR50yL.jpg
https://m.media-amazon.com/images/I/61vNvJrA8AL.jpg
https://m.media-amazon.com/images/I/71GxYy5c+DL.jpg
https://m.media-amazon.com/images/I/71XoWl0+vlL.jpg
https://m.media-amazon.com/images/I/71h3qERAZiL.jpg","16","GPS + Cellular","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R8P2SV9DZGJ5U","George E Zimmerman","
  we were excited about the medical monitoring.  we are an apple family with an iphone, 2 ipads, and a imac, none of which are compatible with the apple watch!  no mention of strict requirements on the amazon website. our only option was to buy a new iphone or return the apple watch and investigate alternative medical monitoring options.  shame on apple's merchandising philosophy!
","Reviewed in the United States on November 30, 2021","Very disappointed in Apple",1,"","24","GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R22FS4ZNPTFJYC","MGallagher","
  This is my first Apple Watch, so far I’m loving the convenience of it. However….. after 4 hours last night and 3 hours on the phone this morning with Verizon technical support (3 different tiers of folks) - I still don’t have cellular functionality on the watch, which is the whole reason I purchased this one! Very frustrating and time consuming to say the least. Hopefully the bugs will get worked out quickly.
","Reviewed in the United States on October 30, 2021","Loving the new 45mm size and specs, the cellular functionality is a BEAST to get activated!",5,"https://m.media-amazon.com/images/I/61E75hKjdJL.jpg","19","GPS + Cellular","45mm","Graphite Stainless Steel Case w Abyss Blue Band"
"R30A7R6PFG6IPZ","kenneth g. steinbrunner","
  Not the color I ordered. There is no charging block with watch. The end is different. It does not take regular charging block. Still have not found right block with a end to charge watch. So I can’t set it up to even see if I like.
","Reviewed in the United States on November 20, 2021","Not very happy",1,"","26","GPS + Cellular","45mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R1DA7VATCOO841","Demhouser","
  First, I just want to say that it DOES NOT come with a charger block for the USB type C, so if you don’t already have one, buy it along side it as I had to take a trip to two different Walmarts and a target to find one.Next, I highly, highly, highly, HIGHLY recommend you measure your wrist and go by the recommended wrist size that apple suggest for each watch. I’m fairly okay in terms of body weight sitting at 210 lbs and dropping with a height of 6’1.  My wrist size was measured to be 210mm so it was recommended that I go for the 45mm version but instead I decided to look at reviews on YouTube and I saw that majority of them recommended the 41mm version as the 45mm was “too bulky and was like wearing a TV screen on their wrist” so because of that I went for the 41mm. When I placed it on my wrist with the band, it felt like I was wearing the smallest watch ever, it felt as if I was trying to put on a watch made for children. Then I went to my friend’s who had a 45mm Apple Watch and tried his on and it fit perfectly, lesson learnt, listen to the manufacturer instead of random people in a video.
","Reviewed in the United States on December 20, 2021","Smaller than it seems and no charging block for the cord",3,"","14","GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"R2EPT15SD2EHN1","Joe Pohlot","
  Watch is fine overall, does all as expected. The band, however broke the second time I took it off (see picture). Highly recommend buying at least 1-2 more bands when you purchase the watch to avoid the down time. The cheaper bands appear to be higher quality than the one it comes with.
","Reviewed in the United States on December 31, 2021","Terrible strap/band, fine watch",3,"https://m.media-amazon.com/images/I/61rSqhyRqHL.jpg","18","GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R2UEBIMIN2QR0H","Tammy Randall","
  Why the heck wouldn’t you include the usb c charger with this watch?  Just plain ridiculous!  Especially for the cost of the item!!!The band stinks. I have lost the watch due to poor design of band.  The part that lightly snaps into hole does not hold well at all.  Come on Apple people, think long term.Now, I have to say I didn’t know until I read info on this watch but it comes from China. Apple…the us citizen s could use these jobs. Don’t you think?  Therefore, this will be my very last Apple product purchase.
","Reviewed in the United States on December 10, 2021","Where is the usb c charger?",4,"","15","GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"RRLGU2U69UA4Z","Omid","
  I have upgraded from Apple Watch series1I have waited for along till apple’s new watch features gets better and better.Apple Watch is the best version of it now and I recommend 41mm cause it feels like a watch in your hand for both men and women.also a cellular cause you have to pay extra for cellular but the regular one connects to WiFi and it’s fast so it’s connection with iPhone is very good and gets updated fast with notifications texts and etc.
","Reviewed in the United States on December 12, 2021","A sophisticated and useful watch",5,"","15","GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"R2DKAHDJPFBO1A","Rich P.","
  This is apparently the best smart watch for iPhone owners and it is a great watch.  While it is disappointing that Apple doesn't include a power adapter for most devices, just plan on spending the extra money to get yourself a USB-C adapter when you buy any new Apple products.  The overall app integration and health features make this a great watch and daily companion.  If you want your daily step count to appear on the watch face, you need to download a pedometer app and then add the steps to your watch face setup, but once you do that it's a great feature.  It will probably take several months to learn 50% of the watch features, but so far it looks great.
","Reviewed in the United States on December 30, 2021","Nice watch",5,"","11","GPS","45mm","Blue Aluminum Case with Abyss Blue Sport Band"
